Distribution;Product code;Ayant droit;Title;Production year;Category;Production regions;Allociné;Isan;Product duration;Parental rating;Default punchline 3;Actor 1;Actor 1 role;Actor 2;Actor 2 role;Actor 3;Actor 3 role;Réalisateur;Genre;URL;Tarif location;Tarif Achat
TVOD;COOKIEXXXXXW0079614;Z/ELIA FILMS-TF1 VISION;Cookie;2012;film;France;130507;0000-0002-D87E-0000-R-0000-0000-U;1:34;tous publics;Adeline, une hôtesse de l'air, a perdu son mari et son fils dans un accident de voiture. Depuis elle vit seule et multiplie les voyages. Un jour, alors qu'elle rentre d'un vol, sa femme de ménage chinoise lui demande de lui garder son fils de 6 ans pendant quelques heures. Mais la femme ne revient pas, et les jours passent sans qu'elle donne de nouvelles. Adeline, aidée de sa soeur Delphine, découvre qu'elle est partie sans laisser d'adresse. Elles décident de prendre en charge le petit garçon, chose difficile car il ne parle pas français. Elles mettent tout en oeuvre pour retrouver la mère du garçonnet, qu'elles ont appelé Cookie, car elles ne connaissent pas son véritable prénom. Cookie est le remake d'un film israélien réalisé en 2007, «Noodle».;Alice Taglioni;Adeline;Virginie Efira;Delphine;Mehdi  Nebbou;Mathieu;Léa Fazer;comédie dramatique;https://video-a-la-demande.orange.fr/film/COOKIEXXXXXW0079614/;2,99;5.99 euros
TVOD;ROCKTHECASBW0083919;Z/ESTRELLA PRODUCTIONS-PATHE;Rock The Casbah ;2012;film;France;131174;0000-0002-A624-0000-9-0000-0000-A;1:39;tous publics;ROCK THE CASBAH est une comédie douce-amère au rythme d'un enterrement. Sur trois jours comme la tradition musulmane le veut, la famille se réunit dans la maison du défunt pour se remémorer les souvenirs et partager la perte de cet être cher qu'est le père de famille. C'est l'été, il faut quitter les plages, les maillots de bains pour se vêtir de djellabas, réunir tout le monde et donner à la maison des allures de deuil... ;Morjana Alaoui;Sofia, la fille actrice;Nadine Labaki;Miiam, la fille obsédée par sa beauté;Lubna Azabal;Kenza, la fille professeure;Laïla Marrakchi;comédie;https://video-a-la-demande.orange.fr/film/ROCKTHECASBW0083919/;2,99;7.99 euros
TVOD;BISXXXXXXXXW0097697;Z/EUROPACORP-PATHE;Bis;2015;film;France;131667;0000-0003-F6F0-0000-J-0000-0000-H;1:37;tous publics;Eric et Patrice sont copains depuis le lycée. Mais au fil des années, les deux hommes ont emprunté des voies différentes. Si Patrice est devenu un médecin respectable et un père de famille à la vie bien rangée, Eric est un playboy épicurien qui enchaîne les conquêtes. Mais un soir, après avoir partagé plusieurs verres, les deux amis se retrouvent soudainement propulsés en 1986, année de leurs 17 ans. Si leur entourage les voit comme des adolescents, les compères ont gardé leurs attitudes d'adultes et leurs souvenirs. Ce retour dans le passé est alors pour eux l'occasion de vivre leurs envies et de changer le cours de leur vie. Kad Merad et Franck Dubosc campent le duo incorrigible de cette comédie amusante et nostalgique.;Franck Dubosc;Eric;Kad Merad;Patrice Olesky;Alexandra Lamy;Caroline;Dominique Farrugia;comédie;https://video-a-la-demande.orange.fr/film/BISXXXXXXXXW0097697/;2,99;7.99 euros
TVOD;LAGRANDEBOUW0078415;Z/FIDELITE-WILD BUNCH;La grande boucle;2013;film;France;131836;0000-0003-8E0D-0000-9-0000-0000-A;1:33;tous publics;Vendeur de vélo et cycliste amateur, François se retrouve un jour licencié de son travail et abandonné par sa femme. Ce passionné du Tour de France se lance alors un défi audacieux : faire la Grande Boucle en parcourant les étapes du tour avec un jour d'avance sur les coureurs professionnels. Parti seul, il voit bientôt son pari sportif susciter un incroyable engouement médiatique et public. Mais entre ceux qui le rejoignent dans son périple, les spectateurs qui n'ont d'yeux que pour lui et la presse qui l'encense, François et sa popularité croissante provoquent aussi la jalousie des vrais coureurs et notamment celle du maillot jaune du Tour. Clovis Cornillac est parfait dans cette comédie sociale tendre et généreuse sur le courage et la camaraderie.;Clovis Cornillac;François Nouel;Ary Abittan;Toni Agnello;Bouli Lanners ;Rémi Pletinckx;Laurent Tuel;comédie;https://video-a-la-demande.orange.fr/film/LAGRANDEBOUW0078415/;2,99;5.99 euros
TVOD;UNSACDEBILLW0119818;GAUMONT;Un sac de billes;2016;film;France;132519;0000-0004-49B9-0000-Z-0000-0000-6;1:47;tous publics;Dans la France occupée, Maurice et Joseph, deux jeunes frères juifs livrés à eux-mêmes, font preuve d'une incroyable dose de malice, de courage et d'ingéniosité pour échapper à l'invasion ennemie et tenter de réunir leur famille à nouveau.;Patrick Bruel;Roman;Kev Adams;Ferdinand;Christian Clavier;Docteur Rosen;Christian Duguay;drame;https://video-a-la-demande.orange.fr/film/UNSACDEBILLW0119818/;2,99;9.99 euros
TVOD;NILECIELNILW0101242;Z/LE PETIT BUREAU-DIAPHANA;Ni le ciel ni la terre;2015;film;France;132948;0000-0004-2B8C-0000-C-0000-0000-1;1:39;tous publics;En 2014, en Afghanistan, alors que les troupes de l'OTAN se retirent du pays, une section militaire française dirigée par le capitaine Antarès Bonassieu est chargée d'effectuer une mission de surveillance dans une vallée à la frontière du Pakistan. Si l'opération, aisée, vire à la routine quotidienne, les soldats doivent parfois échanger quelques tirs avec un groupe de Talibans caché dans les montagnes. Mais une nuit, les soldats du capitaine Bonassieu se mettent à disparaître mystérieusement. Déterminé à retrouver leurs frères d'armes, les soldats français se lancent à la recherche de leurs camarades. Une première œuvre maîtrisée dont l'atmosphère intense et inquiétante sert un envoûtant film de guerre aux frontières du fantastique.;Jérémie Renier;Capitaine Antarès Bonassieu;Kévin Azaïs  ;William Denis;Swann Arlaud;Jérémie Lernowski;Clément Cogitore;drame;https://video-a-la-demande.orange.fr/film/NILECIELNILW0101242/;2,99;5.99 euros
TVOD;LEGOUTDESMEW0098096;Z/PULSAR Films-TF1VISION;Le goût des merveilles;2015;film;France;133067;0000-0003-8D39-0000-0-0000-0000-3;1:36;tous publics;Au cœur de la Drôme provençale, Louise élève seule ses deux enfants et tente de préserver l'exploitation familiale. Un soir, elle manque d'écraser un inconnu au comportement singulier. Cet homme se révèle vite différent de la plupart des gens. Et sa capacité d'émerveillement pourrait bien changer la vie de Louise et de sa famille.;Virginie Efira;Louise Legrand;Benjamin Lavernhe;Pierre;Lucie Fagedet;Emma Legrand;Eric Besnard;comédie dramatique;https://video-a-la-demande.orange.fr/film/LEGOUTDESMEW0098096/;2,99;5.99 euros
TVOD;LATAULARDEXW0115420;Z/SUPERPROD-STUDIO CANAL;La taularde;2016;film;France;133683;0000-0004-676B-0000-Z-0000-0000-6;1:34;déc. -12;Pour sauver l'homme qu'elle aime de la prison, Mathilde prend sa place en lui permettant de s'évader. Alors que sa survie en milieu carcéral ne dépend que de lui, Mathilde n'en reçoit plus aucune nouvelle. Isolée, soutenue uniquement par son fils, elle répond désormais au numéro d'écrou 383205-B. Mathilde deviendra-t-elle une taularde comme une autre ?;Sophie Marceau;Mathilde Leroy;Marie Denarnaud;Léa;Eye Haïdara;Nato Kanté;Audrey  Estrougo;drame;https://video-a-la-demande.orange.fr/film/LATAULARDEXW0115420/;2,99;9.99 euros
TVOD;KINGXXXXXXXW0185071;Z/FULL HOUSE-PATHE;King;2021;film;France;134008;0000-0003-7BCB-0000-J-0000-0000-H;1:35;tous publics;"A l'aéroport d'Orly, un lionceau parvient à fausser compagnie aux douaniers qui l'ont découvert dans une valise. Le félin se réfugie dans la chambre d'Inès, 12 ans, qui se met en tête de ramener l'animal, qu'elle a baptisé King, en Afrique. Accompagnée par son frère aîné Alex, qui espère devenir ainsi populaire sur les réseaux sociaux, elle part rejoindre son grand-père Max, qui pourra sans doute les aider vu son passé de baroudeur. Le trio va devoir redoubler d'ingéniosité pour échapper aux autorités lancées à sa poursuite. Les bons sentiments ne manquent pas dans cette épopée animalière familiale qui n'est pas sans rappeler le ""E.T. l'extraterrestre"" de Spielberg.";Gérard Darmon;Le grand-père;Lou Lambrecht;Inès;Léo Lorléac'h;Alexandre;David Moreau;aventure;https://video-a-la-demande.orange.fr/film/KINGXXXXXXXW0185071/;2,99;7.99 euros
TVOD;LAFINEEQUIPW0117068;Z/BLUE MONDAY PRODUCTIONS-My digital company;La fine équipe;2016;film;France;134833;0000-0004-6CA1-0000-9-0000-0000-A;1:26;tous publics;Omen est un inconditionnel de Stan, chanteuse black au flow ravageur. Sans doute l'un des derniers fans, vu comment le groupe galère ! Le jour où il croise son idole par hasard, Omen lui propose ses services : « chauffeur polyvalent à tout faire ». Contre l'avis général de l'équipe, Stan embarque ce petit blanc pas toujours réveillé, limite bordélique, dont elle semble être la seule à entrevoir les talents... très bien cachés.;Annabelle Lengronne;Stan;William Lebghil;Omen;Ralph Amoussou ;Marlon;Magaly Richard-Serrano  ;comédie;https://video-a-la-demande.orange.fr/film/LAFINEEQUIPW0117068/;2,99;5.99 euros
TVOD;LAFRENCHXXXW0096579;GAUMONT;La French;2014;film;France;136739;0000-0003-DA7B-0000-V-0000-0000-I;2:09;tous publics;Marseille. 1975. Pierre Michel, jeune magistrat venu de Metz avec femme et enfants, est nommé juge du grand banditisme. Il décide de s'attaquer à la French Connection, organisation mafieuse qui exporte l'héroïne dans le monde entier. N'écoutant aucune mise en garde, le juge Michel part seul en croisade contre Gaëtan Zampa, figure emblématique du milieu et parrain intouchable. Mais il va rapidement comprendre que, pour obtenir des résultats, il doit changer ses méthodes.;Jean Dujardin;;Gilles Lellouche;;Céline Sallette;;Cédric Jimenez;policier;https://video-a-la-demande.orange.fr/film/LAFRENCHXXXW0096579/;2,99;9.99 euros
TVOD;LESSOUVENIRW0095260;Z/NOLITACINEMA-TF1VISION;Les souvenirs;2014;film;France;137244;0000-0003-7E94-0000-E-0000-0000-W;1:29;tous publics;Romain a 23 ans. Il aimerait être écrivain mais, pour l'instant, il est veilleur de nuit dans un hôtel. Son père a 62 ans. Il part à la retraite et fait semblant de s'en foutre. Son colocataire a 24 ans. Il ne pense qu'à une chose : séduire une fille, n'importe laquelle et par tous les moyens. Sa grand-mère a 85 ans. Elle se retrouve en maison de retraite et se demande ce qu'elle fait avec tous ces vieux. Un jour son père débarque en catastrophe. Sa grand-mère a disparu. Elle s'est évadée en quelque sorte. Romain part à sa recherche, quelque part dans ses souvenirs...;Michel Blanc;Michel Esnard;Annie  Cordy;La grand-mère;Mathieu Spinosi;Romain Esnard;Jean-Paul Rouve;comédie dramatique;https://video-a-la-demande.orange.fr/film/LESSOUVENIRW0095260/;2,99;5.99 euros
TVOD;LEGRIMOIREDW0095437;Z/UGC-WARNER;Le grimoire d'Arkandias;2013;film;France;137601;0000-0003-EEA7-0000-3-0000-0000-S;1:28;tous publics;Dans le village de Ronenval, tout semble normal. Trop normal pour Théo qui ne rêve que d'une chose : échapper à son destin de boloss. Un jour, il déniche à la bibliothèque un livre de magie qui contient les secrets de fabrication d'une bague d'invisibilité. Avec l'aide de ses meilleurs amis Bonnav et Laura, il décide de fabriquer cette bague. Surprise : Théo disparaît pour de bon ! Victime de trois sorcières, il reste bloqué dans l'invisibilité...Il se lance alors dans une course effrénée contre le temps. Arkandias, un étrange individu toujours à leurs trousses, est peut être le seul à pouvoir les aider.;Christian Clavier;Agénor Arkandias;Ryan Brodie;Théo;Isabelle Nanty;Bertha Boucher;Alexandre Castagnetti;jeunesse;https://video-a-la-demande.orange.fr/film/LEGRIMOIREDW0095437/;2,99;7.99 euros
TVOD;ETERNITEXXXW0117966;PATHE;Éternité;2015;film;France;137717;0000-0003-0213-0000-I-0000-0000-K;1:50;tous publics;Quand Valentine se marie à 20 ans avec Jules, nous sommes à la fin du 19e siècle. À la fin du siècle suivant, une jeune Parisienne, l'arrière-petite-fille de Valentine, court sur un pont et termine sa course dans les bras de l'homme qu'elle aime. Entre ces deux moments, des hommes et des femmes se rencontrent, s'aiment, s'étreignent durant un siècle, accomplissant ainsi les destinées amoureuses et établissant une généalogie... Une éternité...;Mélanie Laurent;Mathilde;Audrey Tautou;Valentine;Bérénice Bejo;Gabrielle;Anh Hung Tran;drame;https://video-a-la-demande.orange.fr/film/ETERNITEXXXW0117966/;2,99;7.99 euros
TVOD;BREVESDECOMW0089254;Z/MON VOISIN PRODUCTIONS-DIAPHANA;Brèves de comptoir ;2013;film;France;137754;0000-0004-2507-0000-Q-0000-0000-X;1:35;tous publics;Une journée de la vie du Café L'Hirondelle, sur une petite place de banlieue, en face d'un cimetière. De l'ouverture à 6h30 du matin jusqu'à la fermeture à 22h30, les clients entrent, boivent, parlent, sortent, rerentrent, re-boivent et reparlent de plus belle. Ils composent un drôle d'opéra parlé, une musique tendre et cocasse, un cantique de pensées frappées au coin du plaisir d'être ensemble, un verre de vin blanc à la main. Le génie populaire danse.;Chantal Neuwirth;;Didier Bénureau;;Laurent Gamelon;;Jean-Michel Ribes;comédie;https://video-a-la-demande.orange.fr/film/BREVESDECOMW0089254/;2,99;5.99 euros
TVOD;RESPIREXXXXW0094860;GAUMONT;Respire;2014;film;France;137801;0000-0003-DA7C-0000-0-0000-0000-3;1:26;déc. -10;Charlie, une jeune fille de 17 ans. L'âge des potes, des émois, des convictions, des passions.    Sarah, c'est la nouvelle. Belle, culottée, un parcours, un tempérament. La star immédiate, en somme. Sarah choisit Charlie.;Isabelle Carré;Vanessa;Joséphine Japy;Charlie;Lou de Laâge;Sarah;Mélanie Laurent;drame;https://video-a-la-demande.orange.fr/film/RESPIREXXXXW0094860/;2,99;7.99 euros
TVOD;TOUTEPREMIEW0096417;Z/KALY PRODUCTIONS-GAUMONT;Toute première fois;2014;film;France;137803;0000-0003-A08F-0000-R-0000-0000-U;1:27;tous publics;A 34 ans, Jérémie mène une vie formidable. Il a fondé une entreprise qui connaît le succès et va prochainement se marier avec Antoine, son compagnon. Pourtant, un matin, il se réveille dans le lit d'Adna, une jeune et ravissante Suédoise avec laquelle il a passé la nuit. Perturbé par cette relation d'un soir, le trentenaire ne cesse de tout remettre en question. Si Charles, son meilleur ami, tente de lui remettre les idées au clair, Jérémie continue de s'interroger sur sa sexualité. Il décide alors de revoir Adna. Mais au cours de leur rencontre, il tombe rapidement amoureux de la jeune femme aussi drôle qu'attachante. Une comédie sociale et romantique rafraîchissante, servie par des acteurs séduisants et des dialogues délicieusement piquants.;Pio Marmai;Jérémie Deprez;Franck Gastambide;Charles;Camille Cottin;Clémence;Noémie Saglio;comédie;https://video-a-la-demande.orange.fr/film/TOUTEPREMIEW0096417/;2,99;7.99 euros
TVOD;PLAYLISTXXXW0161992;Z/ATELIER DE PRODUCTION-SND;Playlist;2019;film;France;138216;0000-0005-2556-0000-D-0000-0000-Z;1:22;tous publics;"Sophie, 26 ans, modeste serveuse dans un bistrot parisien, aurait aimé devenir dessinatrice de BD et rencontrer le grand amour. Malheureusement, le jour même où elle est embauchée dans une maison d'édition de BD, bien qu'elle n'ait jamais fait d'école d'art, son petit ami la quitte. Or Sophie est enceinte. Comprenant de moins en moins le monde qui l'entoure, elle se laisse entraîner dans une spirale d'expériences professionnelles et amoureuses. ""L'amour véritable finit bien par vous tomber dessus"" a-t-elle toujours cru. Mais est-ce vrai pour elle ? Sara Forestier illumine de son talent ce premier long métrage, tourné en noir et blanc, de la créatrice de BD et illustratrice Nine Antico.";Sara Forestier;Sophie;Laetitia Dosch;Julia;Inas Chanti;;Veronica Antico;comédie;https://video-a-la-demande.orange.fr/film/PLAYLISTXXXW0161992/;2,99;7.99 euros
TVOD;LESTETESDELW0116820;Z/RECIFILMS-STUDIO CANAL;Les têtes de l'emploi;2016;film;France;138708;0000-0004-4F2C-0000-1-0000-0000-Y;1:23;tous publics;Stéphane, Cathy et Thierry sont les meilleurs employés de l'Agence pour l'Emploi de leur ville. Mais leurs résultats sont tellement bons que l'agence va devoir fermer faute de chômeurs ! Les trois collègues ont alors la folle idée de créer du chômage pour sauver leur poste.;Franck Dubosc;Stéphane Martel;Elsa Zylberstein;Cathy Begin;François-Xavier Demaison;Thierry;Alexandre Charlot;comédie;https://video-a-la-demande.orange.fr/film/LESTETESDELW0116820/;2,99;9.99 euros
TVOD;BELLESFAMILW0097957;Z/LE PETIT BUREAU-ARP;Belles familles;2015;film;France;138739;0000-0004-15EA-0000-Z-0000-0000-6;1:49;tous publics;Jérôme Varenne, qui vit à Shanghai, est de passage à Paris. Il apprend que la maison de famille d'Ambray où il a grandi est au cœur d'un conflit local. Il décide de se rendre sur place pour le résoudre. Cette échappée provinciale changera sa vie...;Mathieu Amalric;Jérôme Varenne;Gilles Lellouche;Grégoire Piaggi;Marine Vacth;Louise Deffe;Jean-Paul Rappeneau;comédie romantique;https://video-a-la-demande.orange.fr/film/BELLESFAMILW0097957/;2,99;7.99 euros
TVOD;LETEMPSDESAW0091998;Z/LES FILMS DU CAP-GAUMONT;Le temps des aveux;2014;film;France;138923;0000-0003-3EC6-0000-A-0000-0000-7;1:30;déc. -10;Cambodge, 1971. Alors qu'il travaille à la restauration des temples d'Angkor, François Bizot, ethnologue français, est capturé par les Khmers rouges. Détenu dans un camp perdu dans la jungle, Bizot est accusé d'être un espion de la CIA. Sa seule chance de salut, convaincre Douch, le jeune chef du camp, de son innocence. Tandis que le français découvre la réalité de l'embrigadement des Khmers rouges se construit entre le prisonnier et son geôlier un lien indéfinissable... Avec Le temps des aveux, Régis Wargnier adapte le roman autobiographique de François Bizot, Le Portail.;Raphaël Personnaz;;Phoeung  Kompheak;;Olivier Gourmet;;Régis Wargnier;drame;https://video-a-la-demande.orange.fr/film/LETEMPSDESAW0091998/;2,99;7.99 euros
TVOD;LETOURNOIXXW0097441;Z/24 MAI PRODUCTION-DIAPHANA;Le tournoi;2015;film;France;139065;0000-0004-9CD4-0000-G-0000-0000-Q;1:19;tous publics;A 22 ans, Cal Fournier est champion de France d'échecs. Aussi redoutable qu'arrogant, il est s'inscrit comme le grand favori d'un tournoi international se déroulant sur sept jours à Budapest. Mais aussi impressionnant est-il dans sa discipline, Cal est également un jeune homme immature qui ne cesse d'animer son quotidien avec des jeux, des défis et des paris en compagnie de sa petite amie Lou et de ses copains Mathieu, Aurélien et Anthony. Tout bascule lorsqu'un challenger inattendu, Max, petit prodige de 9 ans, parvient à le déstabiliser. Obsédé par ce jeune adversaire imprévisible, Cal commence à perdre pied. Cette plongée fascinante dans un univers en huis-clos et très codifié offre un drame psychologique aussi réussi qu'inattendu. ;Michelangelo Passaniti;Cal;Lou de Laâge;Lou;Magne-Håvard Brekke;Viktor;Adam Corbier;drame;https://video-a-la-demande.orange.fr/film/LETOURNOIXXW0097441/;2,99;5.99 euros
TVOD;LAMELODIEXXW0119639;Z/MIZAR FILMS-WARNER;La mélodie;2017;film;France;139095;0000-0004-7EA7-0000-I-0000-0000-K;1:37;tous publics;A bientôt cinquante ans, Simon est un violoniste émérite, mais au creux de sa carrière et de sa vie. Il atterrit dans la classe-orchestre de 6ème d'un collège parisien, dirigée par le bienveillant Monsieur Farid. Ses méthodes d'enseignement rigides rendent ses débuts laborieux et ne facilitent pas ses rapports avec des élèves difficiles. Parmi eux il y a Arnold, un enfant à la timidité maladive, mais passionné et très doué pour le violon. Au contact du talent brut d'Arnold et de l'énergie joyeuse du reste de la classe, Simon revit et renoue avec les joies de la musique. Aura-t-il assez d'énergie pour surmonter les obstacles et tenir sa promesse d'emmener les enfants jouer à la Philharmonie ?;Kad Merad;Simon Daoud;Samir Guesmi;Farid Brahimi;Alfred Renely;Arnold;Rachid Hami;comédie dramatique;https://video-a-la-demande.orange.fr/film/LAMELODIEXXW0119639/;2,99;7.99 euros
TVOD;ADOPTEUNVEUW0109562;Z/NAC FILMS-SND;Adopte un veuf;2015;film;France;139107;0000-0004-3B5B-0000-H-0000-0000-N;1:33;tous publics;Lorsqu'on est veuf depuis peu, il est difficile de s'habituer à sa nouvelle vie... C'est le cas d'Hubert Jacquin, qui passe le plus clair de son temps dans son immense appartement à déprimer devant sa télé. Un beau jour, suite à un quiproquo, sa vie va être bouleversée.;André Dussollier;Hubert Jacquin;Bérengère Krief;Manuela Baudry;Arnaud Ducret;Paul-Gérard Langlois;François Desagnat;comédie;https://video-a-la-demande.orange.fr/film/ADOPTEUNVEUW0109562/;2,99;7.99 euros
